Flat No.,Area in Sqrt,No.of Bhk,Location,Price
0,3720,4,"Sector 107, Noida", 3.9 Cr
1,1625,3,"Sector 50, Noida", 1.15 Cr
2,1325,3,"Sector 120, Noida", 60 L
3,650,1,"Sector 73, Noida", 19 L
4,950,2,"Phase 2 Noida Extension, Noida", 25.99 L
5,2050,4,"Sector 150, Noida", 1.98 Cr
6,2460,3,"Sector 150, Noida", 2.22 Cr
7,1425,3,"Sector 143B, Noida", 94.5 L
8,2500,3,"Sector 107, Noida", 2.25 Cr
9,1750,3,"Sector 150, Noida", 1.35 Cr
10,1970,3,"Sector 77, Noida", 1.28 Cr
11,585,1,"Sector 120, Noida", 29.99 L
12,1750,3,"Sector 62, Noida", 82 L
13,783,3,"Sector 150, Noida", 1.05 Cr
14,1750,3,"Sector 150, Noida", 1.35 Cr
15,600,1,"Sector 50, Noida", 12.99 L
16,3000,4,"Sector 107, Noida", 2.97 Cr
17,1155,2,"Sector 150, Noida", 86 L
18,950,2,"Sector1, Noida", 24.5 L
19,2150,4,"Sector 41, Noida", 2.75 Cr
20,1525,3,"Sector 75, Noida", 1 Cr
21,1690,3,"Sector 79, Noida", 1.4 Cr
22,6250,5,"Sector 128, Noida", 7.65 Cr
23,750,2,"Sector 75, Noida", 21.85 L
24,1500,3,"Sector 74, Noida", 57.52 L
25,1050,2,"Sector 73, Noida", 25 L
26,1775,3,"Sector 152, Noida", 1.8 Cr
27,2500,3,"Sector 78, Noida", 2.74 Cr
28,2450,3,"Sector 108, Noida", 3.2 Cr
29,3751,4,"Sector 144, Noida", 5.4 Cr
30,1180,3,"Sector 150, Noida", 39 L
31,1220,2,"Sector 62, Noida", 1.47 Cr
32,600,2,"Sector 49, Noida", 28 L
33,690,1,"Sector 51, Noida", 20.99 L
34,1100,2,"Sector 93, Noida", 79.5 L
35,960,2,"Sector 75, Noida", 28.5 L
36,1150,2,"Sector 143B, Noida", 80.5 L
37,6480,6,"Sector 39, Noida", 9.25 Cr
38,1380,2,"Sector 94, Noida", 2.2 Cr
39,1695,3,"Sector 137, Noida", 80 L
40,953,2,"Sector 151, Noida", 39.59 L
41,4874,4,"Sector 108, Noida", 4.63 Cr
42,1200,3,"Sector 150, Noida", 50 L
43,2715,5,"Sector 79, Noida", 2.3 Cr
44,1580,3,"Sector 137, Noida", 66.5 L
45,604,2,"Sector 19 Yamuna Expressway, Noida", 37.96 L
46,1300,2,"Sector 105, Noida", 92 L
47,1100,2,"Sector 44, Noida", 35 L
48,3047,4,"Phase 2 Noida Extension, Noida", 1.81 Cr
49,8000,8,"Sector 40, Noida", 5.75 Cr
50,1300,1,"rho 2, Noida", 95 L
51,1245,2,"Sector 79, Noida", 81.75 L
52,3525,4,"Sector 78, Noida", 4.23 Cr
53,2410,4,"Sector 76, Noida", 1.35 Cr
54,5724,4,"Sector 107, Noida", 3.1 Cr
55,535,1,"Sector 94, Noida", 80.25 L
56,1350,3,"Sector 121, Noida", 1.75 Cr
57,950,2,"Sector 45, Noida", 34 L
58,1248,3,"Sector 43, Noida", 3.35 Cr
59,2563,3,"Sector 43, Noida", 3.35 Cr
60,990,2,"Sector 78, Noida", 66.82 L
61,1390,3,"Sector 78, Noida", 93.82 L
62,1390,3,"Sector 78, Noida", 93.82 L
63,1465,3,"Sector 78, Noida", 98.88 L
64,1465,3,"Sector 78, Noida", 98.88 L
65,1404,3,"Sector 150, Noida", 1.05 Cr
66,1155,2,"Sector 150, Noida", 86 L
67,1155,2,"Sector 150, Noida", 86 L
68,2500,3,"Sector 107, Noida", 2.57 Cr
69,2970,4,"Sector 107, Noida", 3.05 Cr
70,2970,4,"Sector 107, Noida", 3.05 Cr
71,2575,3,"Sector 107, Noida", 2.65 Cr
72,2575,3,"Sector 107, Noida", 2.65 Cr
73,3550,4,"Sector 107, Noida", 3.65 Cr
74,3550,4,"Sector 107, Noida", 3.65 Cr
75,2510,3,"Sector 75, Noida", 2.88 Cr
76,5300,5,"Sector 75, Noida", 6.09 Cr
77,2700,4,"Sector 150, Noida", 1.91 Cr
78,2700,4,"Sector 150, Noida", 1.91 Cr
79,2700,4,"Sector 150, Noida", 1.91 Cr
80,1465,2,"Sector 150, Noida", 96.54 L
81,1425,2,"Sector 150, Noida", 93.9 L
82,1945,3,"Sector 150, Noida", 1.28 Cr
83,2385,3,"Sector 150, Noida", 1.69 Cr
84,1945,3,"Sector 150, Noida", 1.28 Cr
85,2385,3,"Sector 150, Noida", 1.69 Cr
86,1760,3,"Sector 150, Noida", 1.15 Cr
87,1760,3,"Sector 150, Noida", 1.15 Cr
88,2700,4,"Sector 150, Noida", 1.91 Cr
89,2700,4,"Sector 150, Noida", 1.91 Cr
90,2700,4,"Sector 150, Noida", 1.91 Cr
91,6250,5,"Sector 128, Noida", 7.65 Cr
92,6250,5,"Sector 128, Noida", 7.65 Cr
93,3465,4,"Sector 128, Noida", 4.24 Cr
94,3465,4,"Sector 128, Noida", 4.24 Cr
95,3325,4,"Sector 128, Noida", 4.07 Cr
96,3325,4,"Sector 128, Noida", 4.07 Cr
97,3775,4,"Sector 128, Noida", 4.62 Cr
98,3775,4,"Sector 128, Noida", 4.62 Cr
99,3575,4,"Sector 128, Noida", 4.37 Cr
100,3575,4,"Sector 128, Noida", 4.37 Cr
101,6100,5,"Sector 128, Noida", 7.47 Cr
102,6100,5,"Sector 128, Noida", 7.47 Cr
103,5550,4,"Sector 128, Noida", 6.79 Cr
104,5550,4,"Sector 128, Noida", 6.79 Cr
105,2700,3,"Sector 128, Noida", 3.03 Cr
106,2700,3,"Sector 128, Noida", 3.03 Cr
107,2850,3,"Sector 128, Noida", 3.2 Cr
108,2850,3,"Sector 128, Noida", 3.2 Cr
109,5900,5,"Sector 128, Noida", 7.22 Cr
110,5900,5,"Sector 128, Noida", 7.22 Cr
111,1510,3,"Sector 78, Noida", 70 L
112,500,1,"Sector 17A Yamuna Expressway, Noida", 21 L
113,500,1,"Sector 17A Yamuna Expressway, Noida", 21 L
114,500,1,"Sector 17A Yamuna Expressway, Noida", 21 L
115,500,1,"Sector 17A Yamuna Expressway, Noida", 21 L
116,500,1,"Sector 17A Yamuna Expressway, Noida", 21 L
117,500,1,"Sector 17A Yamuna Expressway, Noida", 21 L
118,500,1,"Sector 17A Yamuna Expressway, Noida", 21 L
119,500,1,"Sector 17A Yamuna Expressway, Noida", 21 L
120,500,1,"Sector 17A Yamuna Expressway, Noida", 20.99 L
121,500,1,"Sector 17A Yamuna Expressway, Noida", 20.99 L
122,500,1,"Sector 17A Yamuna Expressway, Noida", 22 L
123,500,1,"Sector 17A Yamuna Expressway, Noida", 20.99 L
124,500,1,"Sector 17A Yamuna Expressway, Noida", 20.99 L
125,500,1,"Sector 17A Yamuna Expressway, Noida", 20.99 L
126,500,1,"Sector 17A Yamuna Expressway, Noida", 20.99 L
127,500,1,"Sector 17A Yamuna Expressway, Noida", 20.99 L
128,500,1,"Sector 17A Yamuna Expressway, Noida", 20.99 L
129,500,1,"Sector 17A Yamuna Expressway, Noida", 20.99 L
130,500,1,"Sector 17A Yamuna Expressway, Noida", 20.99 L
131,500,1,"Sector 17A Yamuna Expressway, Noida", 20.99 L
132,500,1,"Sector 17A Yamuna Expressway, Noida", 20.99 L
133,500,1,"Sector 17A Yamuna Expressway, Noida", 20.99 L
134,500,1,"Sector 17A Yamuna Expressway, Noida", 20.99 L
135,500,1,"Sector 17A Yamuna Expressway, Noida", 20.99 L
136,500,1,"Sector 17A Yamuna Expressway, Noida", 20.99 L
137,500,1,"Sector 17A Yamuna Expressway, Noida", 20.99 L
138,3220,4,"Sector 150, Noida", 2.26 Cr
139,850,2,"Sector 73, Noida", 18.5 L
140,550,1,"Sector 72, Noida", 13 L
141,950,2,"Sector 113, Noida", 26.5 L
142,500,1,"Sector 73, Noida", 13 L
143,950,2,"Sector 113, Noida", 26.5 L
144,500,1,"Sector 72, Noida", 13 L
145,850,2,"Sector 72, Noida", 19 L
146,850,2,"Sector 73, Noida", 18 L
147,550,1,"Sector 72, Noida", 16.5 L
148,800,2,"Sector 72, Noida", 15.5 L
149,850,2,"Sector 73, Noida", 22 L
150,850,2,"Sector 73, Noida", 16.5 L
151,550,1,"Sector 73, Noida", 13 L
152,850,2,"Sector 73, Noida", 17.5 L
153,950,2,"Sector 73, Noida", 40 L
154,550,1,"Sector 73, Noida", 13 L
155,850,2,"Sector 73, Noida", 17.5 L
156,850,2,"Sector 73, Noida", 18 L
157,950,2,"Sector 73, Noida", 26.5 L
158,550,1,"Sector 73, Noida", 11.5 L
159,850,2,"Sector 73, Noida", 18.5 L
160,950,2,"Sector 73, Noida", 26.5 L
161,850,2,"Sector 72, Noida", 19.5 L
162,850,2,"Sector 73, Noida", 15.5 L
163,950,2,"Sector 73, Noida", 40 L
164,550,1,"Sector 73, Noida", 13 L
165,850,2,"Sector 73, Noida", 16.5 L
166,850,2,"Sector 73, Noida", 18.5 L
167,850,2,"Sector 73, Noida", 18.5 L
168,550,1,"Sector 75, Noida", 17 L
169,1050,2,"Sector 73, Noida", 26 L
170,1050,2,"Sector 113, Noida", 25.5 L
171,550,1,"Sector 73, Noida", 12.9 L
172,850,2,"Sector 73, Noida", 18.5 L
173,550,1,"Sector 72, Noida", 13 L
174,550,1,"Sector 73, Noida", 11 L
175,550,1,"Sector 73, Noida", 16.5 L
176,850,2,"Sector 73, Noida", 15.5 L
177,850,2,"Sector 73, Noida", 15.5 L
178,850,2,"Sector 73, Noida", 16.5 L
179,550,1,"Sector 73, Noida", 14.5 L
180,500,1,"Sector 73, Noida", 13 L
181,850,2,"Sector 73, Noida", 18.5 L
182,850,2,"Sector 73, Noida", 18.5 L
